,Unnamed: 0.1,Unnamed: 0,identificación,id_host,latitud,longitud,se adapta,noches_mínimo,noches_maximas,noches_mínimo_avg_ntm,máximas_noches_avg_ntm,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,número_de_reseñas,número_de_reviews_ltm,número_de_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_comunicación,review_scores_location,review_scores_value,calculado_host_listings_count,listados_host_calculados_recuento_casas_enteras,calculado_host_listings_count_private_rooms,calculado_host_listings_count_shared_rooms
8082,8082,8082,1.16e+18,503645334,39.4660728,-0.3806823,6.0,3.0,365,3.0,365.0,15,23,23,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
8083,8083,8083,1.16e+18,503645334,39.4660728,-0.3806823,8.0,3.0,365,3.0,365.0,8,15,15,111,1.0,1.0,0.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,0.0,0.0
8084,8084,8084,1.16e+18,1180427,39.4700365,-0.3573164,4.0,1.0,365,4.7,365.0,4,7,19,279,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
8085,8085,8085,1.16e+18,343064389,39.45142866,-0.333765037,4.0,3.0,360,3.0,360.0,28,56,82,257,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0
8086,8086,8086,1.16e+18,577271195,39.473895,-0.3330854,2.0,2.0,90,2.0,90.0,6,20,47,305,17.0,17.0,4.0,4.94,5.0,4.88,4.94,5.0,4.65,4.76,7.0,7.0,0.0,0.0
8087,8087,8087,1.16e+18,343052274,39.48578654,-0.356445126,4.0,10.0,730,9.8,730.0,4,14,30,257,11.0,11.0,2.0,5.0,4.91,4.82,4.91,5.0,4.91,4.91,1.0,1.0,0.0,0.0
8088,8088,8088,1.16e+18,524635391,39.459009,-0.3620558,6.0,5.0,365,5.0,365.0,11,41,71,251,2.0,2.0,0.0,5.0,4.5,5.0,5.0,5.0,4.5,4.5,7.0,7.0,0.0,0.0
8089,8089,8089,1.16e+18,504135820,39.48098693,-0.328168266,6.0,15.0,90,15.0,90.0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8090,8090,8090,1.16e+18,343064389,39.45011039,-0.33426661,4.0,3.0,365,3.0,365.0,8,17,44,195,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,2.0,2.0,0.0,0.0
8091,8091,8091,1.16e+18,578379703,39.46107167,-0.332751783,6.0,1.0,365,2.3,365.0,9,15,15,15,4.0,4.0,1.0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
8092,8092,8092,1.16e+18,211991268,39.47481984,-0.409410483,2.0,1.0,365,22.8,999.0,6,16,16,16,6.0,6.0,2.0,4.67,4.83,4.17,4.83,4.67,4.67,4.17,83.0,83.0,0.0,0.0
8093,8093,8093,1.16e+18,578379703,39.459962,-0.3331174,6.0,1.0,365,2.4,365.0,21,26,26,26,2.0,2.0,1.0,3.5,4.0,4.5,5.0,4.5,4.5,4.0,5.0,5.0,0.0,0.0
8094,8094,8094,1.16e+18,578379703,39.459962,-0.3331174,6.0,1.0,365,2.3,365.0,20,26,26,26,2.0,2.0,1.0,4.5,3.5,3.5,4.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0
8095,8095,8095,1.16e+18,578379703,39.459962,-0.3331174,4.0,1.0,365,2.3,365.0,19,25,25,26,3.0,3.0,0.0,3.33,2.67,4.33,3.0,4.33,3.67,3.0,5.0,5.0,0.0,0.0
8096,8096,8096,1.16e+18,379417605,39.46360436,-0.330248008,4.0,1.0,365,1.0,365.0,24,53,80,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8097,8097,8097,1.16e+18,104348482,39.47457822,-0.370271487,4.0,2.0,365,2.1,365.0,16,44,71,251,12.0,12.0,3.0,4.42,4.58,4.67,4.83,4.92,4.92,4.58,8.0,8.0,0.0,0.0
8098,8098,8098,1.16e+18,179848215,39.45233918,-0.385287707,2.0,1.0,365,1.0,365.0,0,0,0,0,4.0,4.0,0.0,4.75,4.75,5.0,5.0,5.0,4.0,5.0,5.0,0.0,5.0,0.0
8099,8099,8099,1.16e+18,432981976,39.48374,-0.37496,4.0,1.0,1125,2.3,1125.0,10,33,60,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
8100,8100,8100,1.16e+18,515224671,39.5,-0.29625,4.0,6.0,365,6.0,365.0,0,0,0,0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
8101,8101,8101,1.16e+18,308967204,39.4572,-0.38526,6.0,30.0,365,30.0,365.0,0,0,0,188,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,24.0,23.0,1.0,0.0
8102,8102,8102,1.16e+18,12044109,39.46103,-0.34785,5.0,1.0,1125,3.1,1125.0,16,44,70,345,9.0,9.0,3.0,4.56,4.44,5.0,4.89,4.89,4.78,4.33,28.0,28.0,0.0,0.0
8103,8103,8103,1.16e+18,78083527,39.48370728,-0.356755897,2.0,2.0,90,2.0,90.0,0,0,0,0,9.0,9.0,2.0,4.78,4.67,4.22,4.89,4.89,4.44,4.67,5.0,0.0,5.0,0.0
8104,8104,8104,1.16e+18,576635271,39.46491225,-0.376263262,3.0,2.0,365,2.0,1125.0,25,55,84,175,2.0,2.0,0.0,4.5,4.0,4.5,5.0,5.0,4.5,4.5,4.0,4.0,0.0,0.0
8105,8105,8105,1.16e+18,576635271,39.464317,-0.378187498,4.0,2.0,365,2.0,1125.0,25,55,84,175,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,0.0
8106,8106,8106,1.16e+18,439074505,39.46532726,-0.369907447,6.0,1.0,1125,1.5,564.4,19,41,68,337,6.0,6.0,1.0,4.67,4.67,4.67,5.0,4.83,5.0,4.83,3.0,3.0,0.0,0.0
8107,8107,8107,1.16e+18,578834646,39.46126836,-0.39186768,8.0,1.0,365,9.4,999.0,6,17,36,189,9.0,9.0,0.0,5.0,5.0,4.89,5.0,5.0,4.67,4.89,3.0,3.0,0.0,0.0
8108,8108,8108,1.16e+18,578835111,39.46093919,-0.392903124,4.0,1.0,1125,1.4,1125.0,2,19,44,311,14.0,14.0,3.0,4.93,5.0,4.79,4.93,4.86,4.64,4.79,1.0,1.0,0.0,0.0
8109,8109,8109,1.16e+18,578836914,39.45831,-0.34034,4.0,2.0,365,3.0,365.0,0,0,0,0,7.0,7.0,2.0,4.86,4.86,4.57,4.71,4.86,4.43,4.86,1.0,1.0,0.0,0.0
8110,8110,8110,1.16e+18,791187,39.47218382,-0.380456445,5.0,4.0,365,4.0,365.0,0,0,0,0,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,0.0,0.0
8111,8111,8111,1.16e+18,577271195,39.473895,-0.3330854,4.0,2.0,90,2.3,90.0,17,38,65,322,21.0,21.0,6.0,5.0,5.0,5.0,5.0,5.0,4.62,4.9,7.0,7.0,0.0,0.0
8112,8112,8112,1.16e+18,501323625,39.4791,-0.33243,2.0,1.0,365,3.9,365.0,20,44,68,245,9.0,9.0,2.0,4.67,4.56,4.78,5.0,4.67,4.0,4.44,7.0,7.0,0.0,0.0
8113,8113,8113,1.16e+18,501323625,39.4791,-0.33243,2.0,1.0,365,3.9,365.0,16,38,68,245,5.0,5.0,1.0,4.8,4.6,4.6,5.0,5.0,4.2,4.6,7.0,7.0,0.0,0.0
8114,8114,8114,1.16e+18,578880443,39.45941908,-0.374216941,3.0,1.0,365,1.0,365.0,26,56,84,263,2.0,2.0,1.0,3.0,3.0,3.5,4.0,4.5,3.5,3.0,5.0,1.0,4.0,0.0
8115,8115,8115,1.16e+18,546305160,39.46407,-0.34408,2.0,2.0,365,2.0,365.0,3,20,46,136,14.0,14.0,3.0,4.86,4.64,4.86,4.86,4.93,4.14,4.36,2.0,2.0,0.0,0.0
8116,8116,8116,1.16e+18,37122909,39.4761407,-0.360436,4.0,1.0,20,1.0,20.2,0,0,0,0,9.0,9.0,3.0,4.67,4.67,4.89,4.44,4.56,4.78,4.56,11.0,11.0,0.0,0.0
8117,8117,8117,1.16e+18,504121118,39.46384986,-0.376334071,1.0,31.0,365,31.0,365.0,0,0,17,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
8118,8118,8118,1.16e+18,504121118,39.46582,-0.37803,1.0,31.0,365,31.0,365.0,0,0,17,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
8119,8119,8119,1.16e+18,504121118,39.46377179,-0.377912055,1.0,31.0,365,31.0,365.0,13,43,73,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
